run_id,experiment_id,scenario_id,scenario_difficulty,architectures,agent_type,deterministic_agent,llm_model,llm_temperature,max_steps,simulation_seed,random_seed,status,error,started_at,completed_at,termination,required_evidence_score,canonical_id_score,relationship_score,conclusion_correctness_score,grounding_score,completeness_score,temporal_evidence_required,temporal_evidence_acquired,tool_call_count,trace_event_count
compare-d2_reactor_context_combination-161b5d1e-historian,compare-d2_reactor_context_combination-161b5d1e,d2_reactor_context_combination,D2,historian,llm,,gemma-4-31B-it,0.0,10,102,,completed,,2026-09-13T14:19:33.216933+00:00,2026-09-13T14:19:47.229535+00:00,step_budget_exceeded,0.0,1.0,0.0,1.0,1.0,0.0,False,False,12,12
compare-d2_reactor_context_combination-161b5d1e-historian+knowledge_graph,compare-d2_reactor_context_combination-161b5d1e,d2_reactor_context_combination,D2,historian+knowledge_graph,llm,,gemma-4-31B-it,0.0,10,102,,completed,,2026-09-13T14:19:47.232597+00:00,2026-09-13T14:19:51.772147+00:00,submitted,1.0,1.0,1.0,1.0,1.0,1.0,False,False,3,3
